2017-05-25 08:45:50 447,365 0.0
2017-05-25 08:50:27 477,248 378.75
2017-05-25 08:50:28 142,352 322.340425532
2017-05-25 08:50:28 474,247 356.470588235
2017-05-25 08:50:28 139,353 303.0
2017-05-25 08:50:28 474,245 360.714285714
2017-05-25 08:50:29 476,248 378.75
2017-05-25 08:50:29 472,246 352.325581395
2017-05-25 08:50:29 141,356 325.806451613
2017-05-25 08:50:30 145,351 306.060606061
2017-05-25 08:50:30 477,249 388.461538462
2017-05-25 08:50:30 155,359 294.174757282
2017-05-25 08:50:31 476,250 378.75
2017-05-25 08:50:31 166,354 280.555555556
2017-05-25 08:50:32 477,249 383.544303797
2017-05-25 08:50:32 476,248 378.75
2017-05-25 08:50:33 164,356 268.14159292
2017-05-25 08:50:33 476,248 374.074074074
2017-05-25 08:50:33 146,355 283.177570093
2017-05-25 08:50:33 476,248 374.074074074
2017-05-25 08:50:34 477,248 388.461538462
2017-05-25 08:50:35 476,247 374.074074074
2017-05-25 08:50:35 476,249 374.074074074
2017-05-25 08:50:36 476,247 378.75
2017-05-25 08:50:36 475,247 369.512195122
2017-05-25 08:50:37 478,249 398.684210526
2017-05-25 08:50:37 476,247 374.074074074
2017-05-25 08:50:37 478,249 398.684210526
2017-05-25 08:50:38 478,249 393.506493506
2017-05-25 08:50:38 477,249 383.544303797
2017-05-25 08:50:39 477,248 383.544303797
2017-05-25 08:50:39 478,248 398.684210526
2017-05-25 08:50:40 475,246 365.060240964
2017-05-25 08:50:40 476,248 378.75
2017-05-25 08:50:40 475,248 374.074074074
2017-05-25 08:50:41 417,387 631.25
2017-05-25 08:50:41 475,246 365.060240964
2017-05-25 08:50:41 476,248 383.544303797
2017-05-25 08:50:42 476,249 383.544303797
2017-05-25 08:50:42 476,248 374.074074074
2017-05-25 08:50:42 475,247 369.512195122
2017-05-25 08:50:43 472,247 383.544303797
2017-05-25 08:50:43 148,369 294.174757282
2017-05-25 08:50:44 473,248 378.75
2017-05-25 08:50:44 475,248 365.060240964
2017-05-25 08:50:44 422,378 388.461538462
2017-05-25 08:50:45 476,248 374.074074074
2017-05-25 08:50:45 475,245 356.470588235
2017-05-25 08:50:46 476,249 383.544303797
2017-05-25 08:50:47 476,248 383.544303797
2017-05-25 08:50:47 155,333 252.5
2017-05-25 08:50:47 475,247 374.074074074
2017-05-25 08:50:48 475,249 378.75
2017-05-25 08:50:48 485,249 388.461538462
2017-05-25 08:50:48 474,248 360.714285714
2017-05-25 08:50:49 473,247 356.470588235
2017-05-25 08:50:49 483,242 378.75
2017-05-25 08:50:50 476,243 352.325581395
2017-05-25 08:50:50 471,246 360.714285714
2017-05-25 08:50:50 473,247 360.714285714
2017-05-25 08:50:51 474,247 356.470588235
2017-05-25 08:50:51 474,246 360.714285714
2017-05-25 08:50:52 478,249 398.684210526
2017-05-25 08:50:52 475,246 360.714285714
2017-05-25 08:50:53 476,246 369.512195122
2017-05-25 08:50:53 475,245 360.714285714
2017-05-25 08:50:54 476,246 369.512195122
2017-05-25 08:50:54 477,247 388.461538462
2017-05-25 08:50:55 476,248 383.544303797
2017-05-25 08:50:55 475,245 360.714285714
2017-05-25 08:50:56 474,243 348.275862069
2017-05-25 08:50:56 479,249 409.459459459
2017-05-25 08:50:56 478,250 398.684210526
2017-05-25 08:50:57 477,250 398.684210526
2017-05-25 08:50:57 477,248 383.544303797
2017-05-25 08:50:58 477,248 388.461538462
2017-05-25 08:50:58 475,245 365.060240964
2017-05-25 08:50:58 165,372 303.0
2017-05-25 08:50:59 477,246 388.461538462
2017-05-25 08:50:59 478,248 388.461538462
2017-05-25 08:51:00 478,250 398.684210526
2017-05-25 08:51:00 185,375 315.625
2017-05-25 08:51:00 182,378 322.340425532
2017-05-25 08:51:00 478,249 393.506493506
2017-05-25 08:51:01 183,376 322.340425532
2017-05-25 08:51:01 477,248 388.461538462
2017-05-25 08:51:01 190,376 315.625
2017-05-25 08:51:02 190,373 300.0
2017-05-25 08:51:02 193,376 315.625
2017-05-25 08:51:03 473,244 344.318181818
2017-05-25 08:51:03 189,377 325.806451613
2017-05-25 08:51:04 190,373 309.183673469
2017-05-25 08:51:04 477,248 378.75
2017-05-25 08:51:04 181,373 315.625
2017-05-25 08:51:05 174,373 303.0
2017-05-25 08:51:05 182,378 325.806451613
2017-05-25 08:51:06 184,380 329.347826087
2017-05-25 08:51:06 420,389 776.923076923
2017-05-25 08:51:07 475,246 360.714285714
2017-05-25 08:51:08 403,379 452.23880597
2017-05-25 08:51:08 475,246 369.512195122
2017-05-25 08:51:08 477,247 383.544303797
2017-05-25 08:51:09 474,245 365.060240964
2017-05-25 08:51:10 474,243 344.318181818
2017-05-25 08:51:11 474,247 360.714285714
2017-05-25 08:51:12 474,244 360.714285714
2017-05-25 08:51:13 476,247 378.75
2017-05-25 08:51:16 472,244 336.666666667
2017-05-25 08:51:16 478,248 383.544303797
2017-05-25 08:51:17 419,389 776.923076923
2017-05-25 08:51:17 477,248 383.544303797
2017-05-25 08:51:18 419,388 704.651162791
2017-05-25 08:51:18 475,247 369.512195122
2017-05-25 08:51:18 477,247 383.544303797
2017-05-25 08:51:19 477,250 388.461538462
2017-05-25 08:51:19 478,249 388.461538462
2017-05-25 08:51:19 477,249 383.544303797
2017-05-25 08:51:20 477,249 383.544303797
2017-05-25 08:51:20 474,247 360.714285714
2017-05-25 08:51:21 429,381 432.857142857
2017-05-25 08:51:21 427,380 420.833333333
2017-05-25 08:51:22 431,380 432.857142857
